metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
2,4,3,256,5000,5000,5,2.86088
2,4,4,256,5000,5000,5,2.94542
2,4,5,256,5000,10000,5,1.42345
2,4,6,256,5000,10000,5,1.42929
2,4,7,256,5000,10000,5,1.43088
3,4,1,256,5000,5000,5,0.439562
3,4,2,256,5000,5000,5,0.431099
3,4,3,256,5000,5000,5,0.804841
3,4,4,256,5000,5000,5,0.829377
3,4,5,256,5000,10000,5,0.466849
3,4,6,256,5000,10000,5,0.467722
3,4,7,256,5000,10000,5,0.467123
4,4,1,256,5000,5000,5,0.589011
4,4,2,256,5000,5000,5,0.588643
4,4,3,256,5000,5000,5,0.976955
4,4,4,256,5000,5000,5,0.997927
4,4,5,256,5000,10000,5,0.633352
4,4,6,256,5000,10000,5,0.63515
4,4,7,256,5000,10000,5,0.630779
5,5,1,256,5000,5000,5,1.29953
5,5,2,256,5000,5000,5,1.30515
5,5,3,256,5000,5000,5,2.4433
5,5,4,256,5000,5000,5,2.50735
5,5,5,256,5000,10000,5,1.42089
5,5,6,256,5000,10000,5,1.41533
5,5,7,256,5000,10000,5,1.41483
6,5,1,256,5000,5000,5,1.23918
6,5,2,256,5000,5000,5,1.24331
6,5,3,256,5000,5000,5,2.40612
6,5,4,256,5000,5000,5,2.47479
6,5,5,256,5000,10000,5,1.34976
6,5,6,256,5000,10000,5,1.35632
6,5,7,256,5000,10000,5,1.35609
1,4,1,256,500,500,6,16.1305
1,4,2,256,500,500,6,16.178
1,4,3,256,500,500,6,31.0415
1,4,4,256,500,500,6,32.1722
1,4,5,256,500,1000,6,17.0844
1,4,6,256,500,1000,6,16.9712
1,4,7,256,500,1000,6,16.8781
2,4,1,256,500,500,6,12.6839
2,4,2,256,500,500,6,12.7266
2,4,3,256,500,500,6,28.0899
2,4,4,256,500,500,6,28.9773
2,4,5,256,500,1000,6,13.7845
2,4,6,256,500,1000,6,13.8804
2,4,7,256,500,1000,6,13.8317
3,4,1,256,500,500,6,4.19706
3,4,2,256,500,500,6,4.22342
3,4,3,256,500,500,6,7.95399
3,4,4,256,500,500,6,8.20476
3,4,5,256,500,1000,6,4.42428
3,4,6,256,500,1000,6,4.48073
3,4,7,256,500,1000,6,4.45638
4,4,1,256,500,500,6,5.77124
4,4,2,256,500,500,6,5.77999
4,4,3,256,500,500,6,9.62982
4,4,4,256,500,500,6,9.89342
4,4,5,256,500,1000,6,6.0388
4,4,6,256,500,1000,6,6.06771
4,4,7,256,500,1000,6,6.04455
5,5,1,256,500,500,6,12.7247
5,5,2,256,500,500,6,12.7467
5,5,3,256,500,500,6,24.0284
5,5,4,256,500,500,6,24.7488
5,5,5,256,500,1000,6,13.6094
5,5,6,256,500,1000,6,13.5906
5,5,7,256,500,1000,6,13.7306
6,5,1,256,500,500,6,12.1359
6,5,2,256,500,500,6,12.1636
6,5,3,256,500,500,6,23.6901
6,5,4,256,500,500,6,24.4192
6,5,5,256,500,1000,6,12.9506
6,5,6,256,500,1000,6,13.0203
6,5,7,256,500,1000,6,13.0042
1,4,1,256,1000,1000,6,15.9902
1,4,2,256,1000,1000,6,16.2043
1,4,3,256,1000,1000,6,30.878
1,4,4,256,1000,1000,6,31.9133
1,4,5,256,1000,2000,6,17.0971
1,4,6,256,1000,2000,6,16.9858
1,4,7,256,1000,2000,6,16.9695
2,4,1,256,1000,1000,6,12.7447
2,4,2,256,1000,1000,6,12.8184
2,4,3,256,1000,1000,6,28.155
2,4,4,256,1000,1000,6,29.1794
2,4,5,256,1000,2000,6,13.7978
2,4,6,256,1000,2000,6,13.9281
2,4,7,256,1000,2000,6,13.9056
3,4,1,256,1000,1000,6,4.18742
3,4,2,256,1000,1000,6,4.29454
3,4,3,256,1000,1000,6,7.96501
3,4,4,256,1000,1000,6,8.24631
3,4,5,256,1000,2000,6,4.47256
3,4,6,256,1000,2000,6,4.49739
3,4,7,256,1000,2000,6,4.5598
4,4,1,256,1000,1000,6,5.78383
4,4,2,256,1000,1000,6,5.77832
4,4,3,256,1000,1000,6,9.64401
4,4,4,256,1000,1000,6,9.85518
4,4,5,256,1000,2000,6,6.0667
4,4,6,256,1000,2000,6,6.09706
4,4,7,256,1000,2000,6,6.12179
5,5,1,256,1000,1000,6,12.7789
5,5,2,256,1000,1000,6,12.77
5,5,3,256,1000,1000,6,24.0665
5,5,4,256,1000,1000,6,24.7605
5,5,5,256,1000,2000,6,13.638
5,5,6,256,1000,2000,6,13.6983
5,5,7,256,1000,2000,6,13.8088
6,5,1,256,1000,1000,6,12.1858
6,5,2,256,1000,1000,6,12.2048
6,5,3,256,1000,1000,6,23.7351
6,5,4,256,1000,1000,6,24.4335
6,5,5,256,1000,2000,6,13.0172
6,5,6,256,1000,2000,6,13.0927
6,5,7,256,1000,2000,6,13.118
1,4,1,256,2000,2000,6,16.2054
1,4,2,256,2000,2000,6,17.6327
1,4,3,256,2000,2000,6,31.2256
1,4,4,256,2000,2000,6,32.1464
1,4,5,256,2000,4000,6,17.2015
1,4,6,256,2000,4000,6,17.0956
1,4,7,256,2000,4000,6,17.2821
2,4,1,256,2000,2000,6,12.8113
2,4,2,256,2000,2000,6,12.8325
2,4,3,256,2000,2000,6,28.1972
2,4,4,256,2000,2000,6,29.2395
2,4,5,256,2000,4000,6,13.9088
2,4,6,256,2000,4000,6,14.0442
2,4,7,256,2000,4000,6,13.9933
3,4,1,256,2000,2000,6,4.21807
3,4,2,256,2000,2000,6,4.23547
3,4,3,256,2000,2000,6,7.97714
3,4,4,256,2000,2000,6,8.235
3,4,5,256,2000,4000,6,4.50782
3,4,6,256,2000,4000,6,4.55148
3,4,7,256,2000,4000,6,4.5202
4,4,1,256,2000,2000,6,5.8492
4,4,2,256,2000,2000,6,5.85266
4,4,3,256,2000,2000,6,9.67576
4,4,4,256,2000,2000,6,9.92969
4,4,5,256,2000,4000,6,6.10925
4,4,6,256,2000,4000,6,6.13411
4,4,7,256,2000,4000,6,6.1277
5,5,1,256,2000,2000,6,12.9205
5,5,2,256,2000,2000,6,12.876
5,5,3,256,2000,2000,6,24.0976
5,5,4,256,2000,2000,6,24.9537
5,5,5,256,2000,4000,6,13.8041
5,5,6,256,2000,4000,6,13.8388
5,5,7,256,2000,4000,6,13.7619
6,5,1,256,2000,2000,6,12.2725
6,5,2,256,2000,2000,6,12.2935
6,5,3,256,2000,2000,6,23.8299
6,5,4,256,2000,2000,6,24.5711
6,5,5,256,2000,4000,6,13.126
6,5,6,256,2000,4000,6,13.2306
6,5,7,256,2000,4000,6,13.2039
1,4,1,256,5000,5000,6,16.2543
1,4,2,256,5000,5000,6,16.41
1,4,3,256,5000,5000,6,31.2184
1,4,4,256,5000,5000,6,32.3249
1,4,5,256,5000,10000,6,17.4387
1,4,6,256,5000,10000,6,17.8227
1,4,7,256,5000,10000,6,17.4839
2,4,1,256,5000,5000,6,13.042
2,4,2,256,5000,5000,6,13.0331
2,4,3,256,5000,5000,6,28.5388
2,4,4,256,5000,5000,6,29.4553
2,4,5,256,5000,10000,6,14.1684
2,4,6,256,5000,10000,6,14.3065
2,4,7,256,5000,10000,6,14.4043
3,4,1,256,5000,5000,6,4.34528
3,4,2,256,5000,5000,6,4.32837
3,4,3,256,5000,5000,6,8.07848
3,4,4,256,5000,5000,6,8.40138
3,4,5,256,5000,10000,6,4.64262
3,4,6,256,5000,10000,6,4.71993
3,4,7,256,5000,10000,6,4.68111
4,4,1,256,5000,5000,6,5.87863
4,4,2,256,5000,5000,6,5.93534
4,4,3,256,5000,5000,6,9.81926
4,4,4,256,5000,5000,6,10.0409
4,4,5,256,5000,10000,6,6.33395
4,4,6,256,5000,10000,6,6.35222
4,4,7,256,5000,10000,6,6.35669
5,5,1,256,5000,5000,6,13.1076
5,5,2,256,5000,5000,6,13.1449
5,5,3,256,5000,5000,6,24.5551
5,5,4,256,5000,5000,6,25.2513
5,5,5,256,5000,10000,6,14.3198
5,5,6,256,5000,10000,6,14.284
5,5,7,256,5000,10000,6,14.284
6,5,1,256,5000,5000,6,12.4802
6,5,2,256,5000,5000,6,12.497
6,5,3,256,5000,5000,6,24.2432
6,5,4,256,5000,5000,6,24.9325
6,5,5,256,5000,10000,6,13.6365
6,5,6,256,5000,10000,6,13.6557
6,5,7,256,5000,10000,6,13.6754
1,4,8,256,50,5000,5,1.95648
1,4,9,256,50,5000,5,1.98652
2,4,8,256,50,5000,5,1.68538
2,4,9,256,50,5000,5,1.69236
3,4,8,256,50,5000,5,0.51758
3,4,9,256,50,5000,5,0.520947
4,4,8,256,50,5000,5,0.685754
4,4,9,256,50,5000,5,0.684826
5,5,8,256,50,5000,5,1.56612
5,5,9,256,50,5000,5,1.57562
6,5,8,256,50,5000,5,1.53859
6,5,9,256,50,5000,5,1.54341
1,4,8,256,100,20000,5,2.73954
1,4,9,256,100,20000,5,2.75023
2,4,8,256,100,20000,5,2.47816
2,4,9,256,100,20000,5,2.46611
3,4,8,256,100,20000,5,0.735852
3,4,9,256,100,20000,5,0.735844
4,4,8,256,100,20000,5,0.937229
4,4,9,256,100,20000,5,0.932552
5,5,8,256,100,20000,5,2.25103
5,5,9,256,100,20000,5,2.25151
6,5,8,256,100,20000,5,2.2481
6,5,9,256,100,20000,5,2.24061
1,4,8,256,200,80000,5,4.97777
1,4,9,256,200,80000,5,4.95262
2,4,8,256,200,80000,5,4.80566
2,4,9,256,200,80000,5,4.83629
3,4,8,256,200,80000,5,1.37308
3,4,9,256,200,80000,5,1.37136
4,4,8,256,200,80000,5,1.84758
4,4,9,256,200,80000,5,1.84657
5,5,8,256,200,80000,5,4.30578
5,5,9,256,200,80000,5,4.30925
6,5,8,256,200,80000,5,4.62616
6,5,9,256,200,80000,5,4.62886
1,4,8,256,500,500000,5,31.5676
1,4,9,256,500,500000,5,31.5622
2,4,8,256,500,500000,5,32.3306
2,4,9,256,500,500000,5,32.7618
3,4,8,256,500,500000,5,9.94818
3,4,9,256,500,500000,5,9.83207
4,4,8,256,500,500000,5,17.7056
4,4,9,256,500,500000,5,17.7391
5,5,8,256,500,500000,5,31.484
5,5,9,256,500,500000,5,31.5245
6,5,8,256,500,500000,5,39.3957
6,5,9,256,500,500000,5,39.4384
1,4,8,256,50,5000,6,19.8174
1,4,9,256,50,5000,6,20.0531
2,4,8,256,50,5000,6,17.0095
2,4,9,256,50,5000,6,16.9835
3,4,8,256,50,5000,6,5.22594
3,4,9,256,50,5000,6,5.22463
4,4,8,256,50,5000,6,6.91379
4,4,9,256,50,5000,6,6.93167
5,5,8,256,50,5000,6,15.7544
5,5,9,256,50,5000,6,15.6857
6,5,8,256,50,5000,6,15.3411
6,5,9,256,50,5000,6,15.3935
1,4,8,256,100,20000,6,27.3821
1,4,9,256,100,20000,6,27.6431
2,4,8,256,100,20000,6,24.8266
2,4,9,256,100,20000,6,24.692
3,4,8,256,100,20000,6,7.36529
3,4,9,256,100,20000,6,7.34332
4,4,8,256,100,20000,6,9.37441
4,4,9,256,100,20000,6,9.41177
5,5,8,256,100,20000,6,22.6586
5,5,9,256,100,20000,6,22.6951
6,5,8,256,100,20000,6,22.6578
6,5,9,256,100,20000,6,22.5583
1,4,8,256,200,80000,6,50.0735
1,4,9,256,200,80000,6,50.0248
2,4,8,256,200,80000,6,48.7956
2,4,9,256,200,80000,6,49.0726
3,4,8,256,200,80000,6,13.9071
3,4,9,256,200,80000,6,13.7272
4,4,8,256,200,80000,6,18.8207
4,4,9,256,200,80000,6,19.0099
5,5,8,256,200,80000,6,43.574
5,5,9,256,200,80000,6,42.9541
6,5,8,256,200,80000,6,47.0315
6,5,9,256,200,80000,6,47.3679
1,4,8,256,500,500000,6,319.907
1,4,9,256,500,500000,6,320.22
2,4,8,256,500,500000,6,323.428
2,4,9,256,500,500000,6,325.197
3,4,8,256,500,500000,6,98.7771
3,4,9,256,500,500000,6,98.0185
4,4,8,256,500,500000,6,176.753
4,4,9,256,500,500000,6,176.041
5,5,8,256,500,500000,6,313.984
5,5,9,256,500,500000,6,310.682
6,5,8,256,500,500000,6,392.972
6,5,9,256,500,500000,6,393.347
1,4,1,256,100,100,5,1.47304
1,4,2,256,100,100,5,1.42085
1,4,3,256,100,100,5,2.13336
1,4,4,256,100,100,5,2.16732
1,4,5,256,100,200,5,1.69835
1,4,6,256,100,200,5,1.60506
1,4,7,256,100,200,5,1.63888
2,4,1,256,100,100,5,1.05787
2,4,2,256,100,100,5,1.09204
2,4,3,256,100,100,5,1.82099
2,4,4,256,100,100,5,1.86829
2,4,5,256,100,200,5,1.27356
2,4,6,256,100,200,5,1.28675
2,4,7,256,100,200,5,1.3228
3,4,1,256,100,100,5,0.361865
3,4,2,256,100,100,5,0.370638
3,4,3,256,100,100,5,0.546214
3,4,4,256,100,100,5,0.558729
3,4,5,256,100,200,5,0.421411
3,4,6,256,100,200,5,0.422101
3,4,7,256,100,200,5,0.436092
4,4,1,256,100,100,5,0.516234
4,4,2,256,100,100,5,0.520774
4,4,3,256,100,100,5,0.702503
4,4,4,256,100,100,5,0.713309
4,4,5,256,100,200,5,0.570152
4,4,6,256,100,200,5,0.575355
4,4,7,256,100,200,5,0.585767
5,5,1,256,100,100,5,1.09158
5,5,2,256,100,100,5,1.09155
5,5,3,256,100,100,5,1.65379
5,5,4,256,100,100,5,1.68654
5,5,5,256,100,200,5,1.26225
5,5,6,256,100,200,5,1.28023
5,5,7,256,100,200,5,1.31848
6,5,1,256,100,100,5,1.02549
6,5,2,256,100,100,5,1.04793
6,5,3,256,100,100,5,1.60047
6,5,4,256,100,100,5,1.63916
6,5,5,256,100,200,5,1.21629
6,5,6,256,100,200,5,1.22436
6,5,7,256,100,200,5,1.25487
1,4,1,256,200,200,5,1.49494
1,4,2,256,200,200,5,1.53664
1,4,3,256,200,200,5,2.85737
1,4,4,256,200,200,5,2.91686
1,4,5,256,200,400,5,1.68235
1,4,6,256,200,400,5,1.68234
1,4,7,256,200,400,5,1.66227
2,4,1,256,200,200,5,1.19624
2,4,2,256,200,200,5,1.20241
2,4,3,256,200,200,5,2.54805
2,4,4,256,200,200,5,2.61682
2,4,5,256,200,400,5,1.35404
2,4,6,256,200,400,5,1.36242
2,4,7,256,200,400,5,1.36199
3,4,1,256,200,200,5,0.399006
3,4,2,256,200,200,5,0.401319
3,4,3,256,200,200,5,0.730706
3,4,4,256,200,200,5,0.74591
3,4,5,256,200,400,5,0.438658
3,4,6,256,200,400,5,0.443621
3,4,7,256,200,400,5,0.438515
4,4,1,256,200,200,5,0.551153
4,4,2,256,200,200,5,0.55188
4,4,3,256,200,200,5,0.888053
4,4,4,256,200,200,5,0.905824
