metodo,orden,problema,hebras,tamvector,neqn,salto,tiempo
1,4,2,1,500,500,5,4770.33
1,4,2,4,500,500,5,4436.72
1,4,2,16,500,500,5,7750.37
1,4,3,1,500,1000,5,1306.25
1,4,3,4,500,1000,5,3332.42
1,4,3,16,500,1000,5,7382.94
1,4,4,1,500,500000,5,1.21194e+06
1,4,4,4,500,500000,5,327465
1,4,4,16,500,500000,5,84227.9
2,4,1,1,500,500,5,1604.52
2,4,1,4,500,500,5,992.31
2,4,1,16,500,500,5,1492.25
2,4,2,1,500,500,5,5834.91
2,4,2,4,500,500,5,2125.69
2,4,2,16,500,500,5,1864.16
2,4,3,1,500,1000,5,2480.13
2,4,3,4,500,1000,5,1168.63
2,4,3,16,500,1000,5,1369.94
2,4,4,1,500,500000,5,2.68374e+06
2,4,4,4,500,500000,5,713913
2,4,4,16,500,500000,5,191352
3,4,1,1,500,500,5,204.657
3,4,1,4,500,500,5,1416.87
3,4,1,16,500,500,5,3226.63
3,4,2,1,500,500,5,1278.36
3,4,2,4,500,500,5,1951.84
3,4,2,16,500,500,5,3977.04
3,4,3,1,500,1000,5,456.453
3,4,3,4,500,1000,5,1395.39
3,4,3,16,500,1000,5,3030.95
3,4,4,1,500,500000,5,415546
3,4,4,4,500,500000,5,131057
3,4,4,16,500,500000,5,28696.1
4,4,1,1,500,500,5,299.372
4,4,1,4,500,500,5,559.274
4,4,1,16,500,500,5,2784.73
4,4,2,1,500,500,5,1323.83
4,4,2,4,500,500,5,814.578
4,4,2,16,500,500,5,2361.56
4,4,3,1,500,1000,5,662.241
4,4,3,4,500,1000,5,618.46
4,4,3,16,500,1000,5,1462.65
4,4,4,1,500,500000,5,727356
4,4,4,4,500,500000,5,192913
4,4,4,16,500,500000,5,49167.6
5,5,1,1,500,500,5,699.524
5,5,1,4,500,500,5,4812.22
5,5,1,16,500,500,5,9620.98
5,5,2,1,500,500,5,3911.19
5,5,2,4,500,500,5,6565.3
5,5,2,16,500,500,5,11623
5,5,3,1,500,1000,5,1497.73
5,5,3,4,500,1000,5,5328.93
5,5,3,16,500,1000,5,13262.5
5,5,4,1,500,500000,5,1.3686e+06
5,5,4,4,500,500000,5,487158
5,5,4,16,500,500000,5,128462
6,5,1,1,500,500,5,1271.96
6,5,1,4,500,500,5,1164.08
6,5,1,16,500,500,5,10448.1
6,5,2,1,500,500,5,4634.7
6,5,2,4,500,500,5,2161.02
6,5,2,16,500,500,5,2071.94
6,5,3,1,500,1000,5,2617.61
6,5,3,4,500,1000,5,1408.37
6,5,3,16,500,1000,5,2577.38
6,5,4,1,500,500000,5,2.46649e+06
6,5,4,4,500,500000,5,644246
6,5,4,16,500,500000,5,176046
1,4,1,1,1000,1000,5,731.892
1,4,1,4,1000,1000,5,2237.41
1,4,1,16,1000,1000,5,5173.09
1,4,2,1,1000,1000,5,8953.52
1,4,2,4,1000,1000,5,5561.74
1,4,2,16,1000,1000,5,7896
1,4,3,1,1000,2000,5,2282.82
1,4,3,4,1000,2000,5,3659.73
